TV,Tourist Visa,"Issued for tourism, holidays and leisure travel"
BV,Business Visa,"Issued for business meetings, conferences and commercial activities"
TRV,Transit Visa,"Issued for transit through a country en route to another destination"
SV,Student Visa,"Issued for academic studies and educational programs"
WV,Work Visa,"Issued for employment or professional work"
MV,Medical Visa,"Issued for medical treatment and healthcare purposes"
EV,eVisa,"Electronic visa issued through an online application system"
VOA,Visa on Arrival,"Visa issued upon arrival at the destination country's port of entry"
DV,Diplomatic Visa,"Issued to diplomats and diplomatic mission staff"
OV,Official Visa,"Issued to government officials traveling on official duty"
